CH1,CH2,t
2.000000094994902611e-03,0.000000000000000000e+00,9.200000000000000007e-05
2.000000094994902611e-03,-1.199999969685450196e-04,9.299999999999999727e-05
2.000000094994902611e-03,-3.999999898951500654e-05,9.399999999999999448e-05
2.000000094994902611e-03,-3.999999898951500654e-05,9.499999999999999168e-05
0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000243e-05
-3.999999724328517914e-03,7.999999797903001308e-05,9.699999999999999963e-05
2.000000094994902611e-03,0.000000000000000000e+00,9.799999999999999684e-05
2.000000094994902611e-03,0.000000000000000000e+00,9.899999999999999404e-05
2.000000094994902611e-03,0.000000000000000000e+00,9.999999999999999124e-05
2.000000094994902611e-03,1.199999969685450196e-04,1.010000000000000020e-04
4.000000189989805222e-03,0.000000000000000000e+00,1.019999999999999992e-04
0.000000000000000000e+00,-1.199999969685450196e-04,1.029999999999999964e-04
2.000000094994902611e-03,1.199999969685450196e-04,1.039999999999999936e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.049999999999999908e-04
2.000000094994902611e-03,7.999999797903001308e-05,1.060000000000000016e-04
2.000000094994902611e-03,-1.599999959580600262e-04,1.069999999999999988e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.079999999999999960e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.089999999999999932e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999904e-04
2.000000094994902611e-03,-1.199999969685450196e-04,1.110000000000000011e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.119999999999999983e-04
4.000000189989805222e-03,-1.199999969685450196e-04,1.129999999999999955e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.139999999999999927e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.149999999999999899e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.160000000000000007e-04
6.000000052154064178e-03,3.999999898951500654e-05,1.169999999999999979e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.179999999999999951e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.189999999999999923e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.199999999999999895e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.210000000000000002e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.219999999999999974e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.229999999999999811e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.240000000000000054e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.250000000000000026e-04
-2.000000094994902611e-03,1.199999969685450196e-04,1.259999999999999998e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.269999999999999970e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.279999999999999942e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.289999999999999914e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.299999999999999886e-04
6.000000052154064178e-03,7.999999797903001308e-05,1.309999999999999858e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.319999999999999830e-04
6.000000052154064178e-03,-1.599999959580600262e-04,1.330000000000000073e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.340000000000000045e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.350000000000000017e-04
